"household_key","zip5","length_of_residence","income","children","mosaic_household","mosaic_global_household","kcl_b_ind_mosaicsgrouping","new_mover_flag","motorcycle_indicator","sc_vehicle_manufacturer_name","sc_vehicle_model_name","target"
12115756,2889,7,"100-149,999",Yes,Unknown,Unknown,Unknown,N,N,HONDA,CR-V,0
3940243,2885,13,"90-99,999",Yes,Settled in Suburbia,Routine Service Workers,Surburban Style,Y,Y,FORD,REGAL,1
1725187,2852,0,"0",No,Unknown,Unknown,Unknown,N,N,CADILLAC,CTS,0
17585304,2885,12,"100-149,999",Yes,Aging in Place,Comfortable Retirement,Autumn Years,N,Y,NISSAN,ALTIMA,0
37560849,2818,0,"10-19,999",No,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,N,TOYOTA,CAMRY,1
16828466,2885,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,1
5714484,2879,15,"150 - 174,999",Yes,American Royalty,Bourgeois Prosperity,Power Elite,N,Y,LINCOLN,MKC,0
12866898,2889,13,"150 - 174,999",No,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,N,CHEVROLET,SILVERADO 1500,0
6334010,2839,1,"100-149,999",Yes,Unknown,Unknown,Unknown,N,N,CHEVROLET,TAHOE,0
3759371,2888,8,"90-99,999",No,Aging in Place,Comfortable Retirement,Autumn Years,N,Y,TOYOTA,CAMRY,1
15926902,2906,0,"0",No,Status Seeking Singles,Sophisticated Singles,Young City Solos,N,N,TOYOTA,COROLLA,0
20333016,2886,0,"0",No,Digital Dependents,Hard Working Blue Collar,Singles and Starters,N,Y,TOYOTA,ODYSSEY,0
2997760,2893,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
4404559,2909,15,Under 10K,Yes,Steadfast Conventionalists,Hard Working Blue Collar,Family Union,Y,Y,VOLVO,SC2,0
1058882,6277,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
4637204,2837,15,"90-99,999",No,Reaping Rewards,Comfortable Retirement,Golden Year Guardians,N,N,Unknown,Unknown,1
5135965,2888,15,"90-99,999",Yes,Unknown,Unknown,Unknown,N,N,LINCOLN,TOWN CAR,0
4473279,2837,9,"70-79,999",No,American Royalty,Bourgeois Prosperity,Power Elite,N,N,TOYOTA,CAMRY,0
11781926,2882,0,"0",No,Aging of Aquarius,Bourgeois Prosperity,Booming with Confidence,N,N,Unknown,Unknown,0
5811875,2818,0,"0",No,Families Matter Most,Career and Family,Promising Families,N,N,Unknown,Unknown,0
8980780,2879,9,"100-149,999",Yes,Reaping Rewards,Comfortable Retirement,Golden Year Guardians,N,N,TOYOTA,CAMRY,0
7663531,2879,15,"60-69,999",Yes,Family Fun-tastic,Career and Family,Flourishing Families,N,Y,TOYOTA,COROLLA,0
18057312,2828,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
14234999,2822,4,"10-19,999",Yes,Reaping Rewards,Comfortable Retirement,Golden Year Guardians,N,Y,HONDA,CR-V,0
5303744,2904,0,"0",No,Full Pockets  Empty Nests,Bourgeois Prosperity,Thriving Boomers,N,N,TOYOTA,QX4,0
4079654,2893,11,"175 - 199,999",Yes,Unknown,Unknown,Unknown,N,N,HONDA,ODYSSEY,1
1013613,2852,15,"70-79,999",No,Blue Collar Comfort,Hard Working Blue Collar,Power Elite,N,Y,JEEP,LIBERTY,1
19006136,2891,11,"250K+",Yes,Golf Carts and Gourmets,Comfortable Retirement,Booming with Confidence,N,N,Unknown,Unknown,0
3021611,2865,15,"70-79,999",Yes,Unknown,Unknown,Unknown,N,N,TOYOTA,CAMRY,0
17613813,2910,10,"30-39,999",Yes,Aging in Place,Comfortable Retirement,Autumn Years,N,N,Unknown,Unknown,0
8989253,2894,11,"90-99,999",No,No Place Like Home,Routine Service Workers,Thriving Boomers,N,N,Unknown,Unknown,0
2956813,2816,0,"0",No,Birkenstocks and Beemers,Routine Service Workers,Middle Class Melting Pot,N,N,Unknown,Unknown,0
4080716,2904,15,"60-69,999",Yes,Booming and Consuming,Low Income Elders,Blue Sky Boomers,N,N,JEEP,WRANGLER,0
2888057,2857,0,"0",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,TOYOTA,CAMRY,0
12482304,2915,0,"0",No,Unknown,Unknown,Unknown,N,N,BUICK,PARK AVENUE,0
7754963,2879,15,"100-149,999",No,Aging in Place,Comfortable Retirement,Autumn Years,N,Y,TOYOTA,SANTA FE,0
18352995,2896,6,"100-149,999",Yes,Reaping Rewards,Comfortable Retirement,Golden Year Guardians,N,N,Unknown,Unknown,0
8601725,2914,0,Under 10K,No,Senior Discounts,Low Income Elders,Golden Year Guardians,N,N,CHEVROLET,CAVALIER,0
269686,2903,15,"250K+",Yes,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
37528514,2806,0,"0",No,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,N,Unknown,Unknown,0
20375044,2919,7,"70-79,999",Yes,Unknown,Unknown,Unknown,N,Y,VOLKSWAGEN,JETTA,1
99992663,2891,0,"0",No,Aging of Aquarius,Bourgeois Prosperity,Booming with Confidence,N,N,Unknown,Unknown,0
85074252,2886,0,"150 - 174,999",Yes,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,N,Unknown,Unknown,1
4564826,2859,15,"90-99,999",Yes,Aging in Place,Comfortable Retirement,Autumn Years,N,Y,SUBARU,IMPREZA,1
6678926,2816,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
5663818,2921,0,"0",No,Generational Soup,Career and Family,Flourishing Families,N,N,INFINITI,I35,0
4584315,2921,15,"100-149,999",No,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,N,LEXUS,ES330,0
13577590,2809,0,"0",No,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,Y,TOYOTA,COROLLA,1
9698377,2818,15,"175 - 199,999",No,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,N,Unknown,Unknown,0
19048812,2814,0,"0",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,Unknown,Unknown,0
4474621,2837,0,"0",No,Platinum Prosperity,Bourgeois Prosperity,Power Elite,N,N,HONDA,ACCORD,0
5765742,2806,7,"50-59,999",No,Birkenstocks and Beemers,Routine Service Workers,Middle Class Melting Pot,N,N,BMW,X3,0
3191539,2904,1,"70-79,999",No,Full Pockets  Empty Nests,Bourgeois Prosperity,Thriving Boomers,N,N,ACURA,TL,1
4091972,2919,15,"50-59,999",No,Town Elders,Comfortable Retirement,Golden Year Guardians,N,N,HYUNDAI,SONATA,1
13223467,2915,0,"0",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,Unknown,Unknown,0
8675171,2920,13,"10-19,999",No,Rooted Flower Power,Post Industrial Survivors,Blue Sky Boomers,N,N,Unknown,Unknown,0
4564826,2859,15,"90-99,999",Yes,Aging in Place,Comfortable Retirement,Autumn Years,N,N,SUBARU,IMPREZA,1
4363809,2904,7,"150 - 174,999",No,Digital Dependents,Hard Working Blue Collar,Singles and Starters,N,N,Unknown,Unknown,0
7979221,2840,0,"0",No,Unknown,Unknown,Unknown,N,N,TOYOTA,AVALON,1
3980167,2864,7,"50-59,999",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
10462590,6511,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
6519728,2879,0,"0",No,Picture Perfect Families,Career and Family,Power Elite,N,N,Unknown,Unknown,0
96250269,2809,0,"0",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,Unknown,Unknown,0
2762396,2904,0,"0",No,Family Fun-tastic,Career and Family,Flourishing Families,N,N,Unknown,Unknown,0
6423713,2860,0,"0",No,Progressive Potpourri,Routine Service Workers,Middle Class Melting Pot,N,N,HYUNDAI,SENATA,0
4142633,2878,15,"50-59,999",Yes,Aging in Place,Comfortable Retirement,Autumn Years,N,N,VOLKSWAGEN,BEETLE,1
5211755,2888,0,"0",No,Rooted Flower Power,Post Industrial Survivors,Blue Sky Boomers,N,Y,VOLKSWAGEN,REGAL,0
6590597,2817,0,"0",No,Unknown,Unknown,Unknown,N,N,HONDA,CIVIC,0
2704982,2816,15,"90-99,999",Yes,Aging in Place,Comfortable Retirement,Autumn Years,N,N,JEEP,LIBERTY,1
8965666,2882,27,"50-59,999",No,Unknown,Unknown,Unknown,N,Y,VOLKSWAGEN,JETTA,0
5217364,2893,15,"30-39,999",No,Rooted Flower Power,Post Industrial Survivors,Blue Sky Boomers,N,N,MERCURY,GRAND MARQUIS,0
3329102,2857,15,"100-149,999",No,Unspoiled Splendor,Bourgeois Prosperity,Thriving Boomers,N,N,SUBARU,WRANGLER,0
6165714,2806,0,"0",No,Unknown,Unknown,Unknown,N,Y,TOYOTA,PRIUS,0
13293777,2920,0,"0",No,Settled in Suburbia,Routine Service Workers,Surburban Style,N,N,Unknown,Unknown,0
10093718,2914,0,"0",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,Unknown,Unknown,0
14373768,2915,10,"50-59,999",No,Settled and Sensible,Hard Working Blue Collar,Autumn Years,N,Y,TOYOTA,PRIUS,0
7738276,2840,11,"250K+",Yes,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,N,HONDA,PILOT,0
13720549,2915,15,"70-79,999",Yes,Family Fun-tastic,Career and Family,Flourishing Families,N,Y,VOLKSWAGEN,JETTA,1
10898554,2915,0,"50-59,999",Yes,Aging in Place,Comfortable Retirement,Autumn Years,N,N,HYUNDAI,ACCENT,0
14277088,2906,15,"200 - 249,999",No,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,N,ACURA,TSX,0
49275813,2888,7,"100-149,999",Yes,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,1
11623909,2889,13,"70-79,999",Yes,Settled in Suburbia,Routine Service Workers,Thriving Boomers,N,Y,FORD,FOCUS,0
8063628,2860,14,"20-29,999",No,Rooted Flower Power,Post Industrial Survivors,Blue Sky Boomers,N,N,TOYOTA,COROLLA,0
2516297,2904,0,"0",No,Booming and Consuming,Low Income Elders,Blue Sky Boomers,N,N,Unknown,Unknown,0
13061193,2915,0,"0",No,Unknown,Unknown,Unknown,N,Y,HONDA,ACCORD,0
19593345,2871,7,"100-149,999",No,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,N,TOYOTA,CAMRY,0
9084495,2908,0,"0",No,Fast Track Couples,Career and Family,Promising Families,N,N,Unknown,Unknown,0
20164232,2886,15,Under 10K,No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,1
7679186,2888,2,"20-29,999",Yes,Senior Discounts,Low Income Elders,Golden Year Guardians,N,N,Unknown,Unknown,0
2453160,2911,0,"0",No,Rooted Flower Power,Post Industrial Survivors,Blue Sky Boomers,N,Y,TOYOTA,TAURUS,1
13790333,2920,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,1
7784086,2920,0,"20-29,999",No,Senior Discounts,Low Income Elders,Golden Year Guardians,N,N,MAZDA,PROTEGE,1
19055434,2828,15,"10-19,999",No,Senior Discounts,Low Income Elders,Golden Year Guardians,N,N,FORD,TAURUS,0
16894734,2827,5,"100-149,999",Yes,Stockcars and State Parks,Routine Service Workers,Family Union,N,N,MAZDA,B2500,0
3319732,2816,13,"90-99,999",Yes,Unspoiled Splendor,Bourgeois Prosperity,Thriving Boomers,N,N,Unknown,Unknown,0
3238132,2835,15,"100-149,999",No,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,N,Unknown,Unknown,1
5615630,2816,0,"60-69,999",Yes,Town Elders,Comfortable Retirement,Golden Year Guardians,N,N,BMW,"330XI",0
18796979,2917,14,"90-99,999",No,Reaping Rewards,Comfortable Retirement,Golden Year Guardians,N,N,Unknown,Unknown,1
10631370,2888,0,"0",No,Unknown,Unknown,Unknown,N,Y,FORD,EXPEDITION,0
872252,2919,0,"0",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,FORD,EXPLORER,0
1725187,2852,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
2667057,2852,0,"0",No,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,Y,HUNDAI,SANTA FE,1
4048368,2835,15,"100-149,999",Yes,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,N,TOYOTA,RAV4,0
2412447,2857,15,"100-149,999",No,Settled in Suburbia,Routine Service Workers,Surburban Style,N,N,GMC,ENVOY,1
37601844,2816,15,"10-19,999",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,1
18144119,2814,9,"175 - 199,999",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,VOLKSWAGEN,CABRIO,0
3422280,2878,15,"100-149,999",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,Unknown,Unknown,0
3018078,2911,2,"90-99,999",Yes,Aging of Aquarius,Bourgeois Prosperity,Booming with Confidence,N,N,NISSAN,ALTIMA,1
99720002,2905,15,"150 - 174,999",No,Status Seeking Singles,Sophisticated Singles,Young City Solos,N,Y,HONDA,HR-V,0
12104859,2865,15,"90-99,999",No,Rooted Flower Power,Post Industrial Survivors,Blue Sky Boomers,N,Y,FORD,E-150 ECONOLINE,0
472416,2809,15,"30-39,999",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
20027934,2910,9,"50-59,999",Yes,Rooted Flower Power,Post Industrial Survivors,Blue Sky Boomers,N,Y,TOYOTA,PRIUS,0
7262603,2888,0,"0",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,Unknown,Unknown,0
51435616,2920,9,"70-79,999",No,Unknown,Unknown,Unknown,N,N,TOYOTA,CAMRY,0
12301393,2905,0,"0",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,TOYOTA,CAMRY,0
12188514,2882,2,"250K+",Yes,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,N,MAZDA,CIVIC,0
7754016,2882,0,"0",No,Unknown,Unknown,Unknown,N,N,TOYOTA,SIENNA,0
7683926,2893,15,"90-99,999",Yes,Senior Discounts,Low Income Elders,Golden Year Guardians,N,N,HONDA,ACCORD,0
9905310,2920,15,"10-19,999",No,Unknown,Unknown,Unknown,N,N,HONDA,ACCORD,1
86045136,2920,15,"90-99,999",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,HONDA,CR-V,1
17399009,2828,2,"20-29,999",Yes,Town Elders,Comfortable Retirement,Golden Year Guardians,N,N,NISSAN,PT CRUISER,1
2277130,2904,15,"20-29,999",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
13597058,2865,0,"0",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,Unknown,Unknown,0
11401309,2806,0,"10-19,999",No,Unknown,Unknown,Unknown,Y,N,Unknown,Unknown,0
6698822,2879,0,"0",No,Unknown,Unknown,Unknown,N,Y,MAZDA,B2000,0
5035198,6890,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
9261756,2910,15,"60-69,999",Yes,Blue Collar Comfort,Hard Working Blue Collar,Family Union,Y,N,NISSAN,ALTIMA,1
3343279,2871,15,"100-149,999",No,Unknown,Unknown,Unknown,N,N,LINCOLN,TOWN CAR,0
19909214,2861,0,"0",No,Town Elders,Comfortable Retirement,Golden Year Guardians,N,N,TOYOTA,CAMRY,0
10198128,2818,15,"150 - 174,999",Yes,American Royalty,Bourgeois Prosperity,Power Elite,N,N,Unknown,Unknown,1
3280296,2908,15,"100-149,999",Yes,Aging of Aquarius,Bourgeois Prosperity,Booming with Confidence,N,N,HONDA,ACCORD,0
11007224,2889,12,"40-49,999",No,Rooted Flower Power,Post Industrial Survivors,Blue Sky Boomers,N,N,CHRYSLER,CONCORDE,1
40520296,2865,0,"0",No,Platinum Prosperity,Bourgeois Prosperity,Power Elite,N,N,Unknown,Unknown,0
10193932,2809,15,"250K+",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,1
4069800,2816,0,"10-19,999",No,Boomers and Boomerangs,Bourgeois Prosperity,Booming with Confidence,Y,Y,JEEP,GRAND CHEROKEE,0
2097253,2886,15,"50-59,999",Yes,Aging in Place,Comfortable Retirement,Autumn Years,N,Y,DODGE,SEBRING,1
13390657,2915,14,"100-149,999",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,BUICK,LESABRE,0
4023841,2911,15,"20-29,999",No,Aging in Place,Comfortable Retirement,Autumn Years,N,Y,TOYOTA,CAMRY,0
13134679,2920,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
9166345,2905,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
82939949,2888,0,"0",No,Senior Discounts,Low Income Elders,Golden Year Guardians,N,N,Unknown,Unknown,0
10709436,2889,15,"90-99,999",Yes,No Place Like Home,Routine Service Workers,Thriving Boomers,N,N,HONDA,ACCORD,0
37530854,2914,10,Under 10K,No,Rooted Flower Power,Post Industrial Survivors,Blue Sky Boomers,N,Y,TOYOTA,COROLLA,1
8851555,2914,15,"90-99,999",No,Town Elders,Comfortable Retirement,Golden Year Guardians,N,Y,NISSAN,FRONTIER,0
6056781,2908,0,"0",No,Rooted Flower Power,Post Industrial Survivors,Blue Sky Boomers,N,N,Unknown,Unknown,1
4097120,2809,6,"40-49,999",Yes,Couples with Clout,Bourgeois Prosperity,Power Elite,Y,N,JEEP,WRANGLER,0
7295469,2914,15,"100-149,999",Yes,No Place Like Home,Routine Service Workers,Thriving Boomers,N,Y,JEEP,WRANGLER,0
12081364,2822,1,"40-49,999",Yes,Digital Dependents,Hard Working Blue Collar,Singles and Starters,Y,N,Unknown,Unknown,0
673845,2886,15,"90-99,999",Yes,Rooted Flower Power,Post Industrial Survivors,Blue Sky Boomers,N,Y,HONDA,CR-V,1
11261517,2840,11,"50-59,999",No,Aging in Place,Comfortable Retirement,Autumn Years,N,Y,CHEVROLET,ASTRO,0
24878379,2816,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
14526653,2906,15,"175 - 199,999",No,Full Pockets  Empty Nests,Bourgeois Prosperity,Thriving Boomers,N,Y,SAAB,"9/3/19 0:00",0
6886557,6057,0,"0",No,Couples with Clout,Bourgeois Prosperity,Power Elite,N,N,VOLVO,XC70,0
2889460,2857,12,"175 - 199,999",No,Unknown,Unknown,Unknown,N,N,BUICK,VERANO,0
17773057,2910,0,"0",No,Unknown,Unknown,Unknown,N,N,GMC,C1500 SUBURBAN,0
14534788,2921,8,"100-149,999",No,Reaping Rewards,Comfortable Retirement,Golden Year Guardians,N,N,MERCURY,SONATA,0
2656871,2917,15,"90-99,999",No,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,Y,SUBARU,LEGACY,0
6321003,2806,15,"250K+",No,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,N,NISSAN,ALTIMA,0
99383429,2886,7,"250K+",Yes,Unknown,Unknown,Unknown,N,Y,NISSAN,SENTRA,0
5134086,2888,4,"70-79,999",No,Unknown,Unknown,Unknown,N,N,JEEP,LIBERTY,0
1342717,2886,15,"50-59,999",No,Unknown,Unknown,Unknown,N,Y,PONTIAC,GRAND PRIX,1
90117835,2904,0,"0",No,Unknown,Unknown,Unknown,N,Y,HYUNDAI,ACCENT,0
40628291,2889,0,"0",No,Status Seeking Singles,Sophisticated Singles,Young City Solos,N,N,Unknown,Unknown,0
11395019,2920,15,"90-99,999",Yes,Senior Discounts,Low Income Elders,Golden Year Guardians,N,N,Unknown,Unknown,0
6685179,2840,0,"0",No,Unknown,Unknown,Unknown,N,Y,CHEVROLET,MALIBU,0
4203443,2827,0,"0",No,Stockcars and State Parks,Routine Service Workers,Family Union,N,Y,JEEP,COMPASS,0
8980015,2879,7,"100-149,999",No,Full Pockets  Empty Nests,Bourgeois Prosperity,Thriving Boomers,Y,N,CHRYSLER,CROSSFIRE,1
8519444,2828,25,"250K+",Yes,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,1
13708745,2920,15,"90-99,999",Yes,Aging in Place,Comfortable Retirement,Autumn Years,N,Y,FORD,ESCAPE,0
86802854,2828,0,"0",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,VOLKSWAGEN,JETTA,0
75136902,2904,0,"0",No,Settled in Suburbia,Routine Service Workers,Surburban Style,N,N,NISSAN,FRONTIER,0
99996562,2911,15,"90-99,999",Yes,No Place Like Home,Routine Service Workers,Thriving Boomers,N,N,SUBARU,IMPREZA,0
17815856,2861,0,"0",No,Rooted Flower Power,Post Industrial Survivors,Blue Sky Boomers,N,N,CHEVROLET,LUMINA,0
14234999,2822,4,"10-19,999",Yes,Reaping Rewards,Comfortable Retirement,Golden Year Guardians,N,N,Unknown,Unknown,0
3335749,2864,15,"10-19,999",No,No Place Like Home,Routine Service Workers,Thriving Boomers,Y,N,TOYOTA,COROLLA,0
5067580,2886,15,"90-99,999",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,HONDA,ACCORD,1
10156679,2905,1,"20-29,999",No,Full Pockets  Empty Nests,Bourgeois Prosperity,Thriving Boomers,N,N,PONTIAC,GRAND AM,0
9957477,2879,15,"70-79,999",No,Aging in Place,Comfortable Retirement,Autumn Years,N,Y,FORD,RANGER,0
16958691,2917,13,"100-149,999",Yes,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,1
13552428,2909,0,"0",No,Dare to Dream,Metropolitan Strugglers,Aspirational Fusion,N,Y,FORD,RANGER,0
75840362,2919,0,"0",No,Fast Track Couples,Career and Family,Promising Families,N,N,Unknown,Unknown,0
93958654,2818,0,"0",No,Wired for Success,Sophisticated Singles,Significant Singles,N,N,FORD,ESCAPE,0
1058200,6277,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
2403174,2833,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
86045136,2920,15,"90-99,999",No,Aging in Place,Comfortable Retirement,Autumn Years,N,Y,LINCOLN,AVIATOR,1
11111708,2881,15,"100-149,999",No,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,Y,SATURN,LIBERTY,0
20249946,2886,0,"0",No,Striving Single Scene,Metropolitan Strugglers,Singles and Starters,N,N,Unknown,Unknown,0
4350387,2904,4,"40-49,999",Yes,Unknown,Unknown,Unknown,N,N,SAAB,"9/3/19 0:00",0
99736284,2878,15,Under 10K,Yes,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,Y,N,CHEVROLET,MALIBU,0
10358133,2809,12,"100-149,999",Yes,Settled in Suburbia,Routine Service Workers,Surburban Style,Y,N,HONDA,CIVIC,1
16685872,2906,15,"40-49,999",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
5368465,2888,0,"0",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,Unknown,Unknown,0
10283573,2840,9,"10-19,999",No,Unknown,Unknown,Unknown,N,N,CHEVROLET,IMPALA,1
6458844,2904,0,"0",No,Unknown,Unknown,Unknown,N,N,TOYOTA,ROGUE,0
85654170,2911,15,"100-149,999",Yes,Digital Dependents,Hard Working Blue Collar,Singles and Starters,N,N,HONDA,PILOT,0
7317125,2817,15,"150 - 174,999",Yes,Sports Utility Families,Career and Family,Surburban Style,N,Y,JEEP,COMPASS,0
2886361,2864,5,"90-99,999",No,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,N,TOYOTA,CAMRY,0
90133020,6897,0,"0",No,American Royalty,Bourgeois Prosperity,Power Elite,Y,N,Unknown,Unknown,0
5658036,2889,0,"0",No,No Place Like Home,Routine Service Workers,Thriving Boomers,Y,N,MAZDA,"3",0
15521221,6840,0,"100-149,999",No,American Royalty,Bourgeois Prosperity,Power Elite,Y,N,Unknown,Unknown,0
99419238,2910,0,"0",No,Progressive Potpourri,Routine Service Workers,Middle Class Melting Pot,N,N,Unknown,Unknown,0
1333958,2878,0,"0",No,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,Y,N,Unknown,Unknown,0
13257899,2865,1,"100-149,999",Yes,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,Y,HONDA,CIVIC,0
5189611,2837,10,"200 - 249,999",Yes,Unknown,Unknown,Unknown,N,Y,TOYOTA,VENZA,1
252739,2886,0,"100-149,999",Yes,Aging in Place,Comfortable Retirement,Autumn Years,N,N,Unknown,Unknown,0
10136600,2920,25,"60-69,999",No,Aging in Place,Comfortable Retirement,Autumn Years,N,Y,SCION,WRANGLER,1
4091972,2919,15,"50-59,999",No,Town Elders,Comfortable Retirement,Golden Year Guardians,N,N,TOYOTA,CAMRY,1
6040798,2888,13,"175 - 199,999",Yes,No Place Like Home,Routine Service Workers,Thriving Boomers,N,N,VOLVO,C70,1
4726887,2916,15,"150 - 174,999",Yes,Couples with Clout,Bourgeois Prosperity,Power Elite,Y,N,Unknown,Unknown,0
19220825,2814,13,"100-149,999",No,Unspoiled Splendor,Bourgeois Prosperity,Thriving Boomers,N,N,HONDA,CR-V,0
1010888,2886,0,"0",No,Unknown,Unknown,Unknown,N,N,FORD,FUSION,0
17214950,2917,0,"0",No,Fast Track Couples,Career and Family,Promising Families,N,N,Unknown,Unknown,0
15689531,2906,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
99703743,2865,3,"50-59,999",Yes,Aging in Place,Comfortable Retirement,Autumn Years,Y,N,JEEP,LIBERTY,0
9723951,2814,1,"90-99,999",Yes,Fast Track Couples,Career and Family,Promising Families,N,N,Unknown,Unknown,1
20258512,2896,15,"250K+",Yes,Settled in Suburbia,Routine Service Workers,Surburban Style,N,N,BMW,"328I",1
3515886,2893,15,"70-79,999",Yes,Senior Discounts,Low Income Elders,Golden Year Guardians,N,N,FORD,TAURUS,0
14405377,2842,15,"100-149,999",Yes,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,Y,NISSAN,MOUNTAINEER,1
20245055,2886,0,"0",No,Digital Dependents,Hard Working Blue Collar,Singles and Starters,N,N,VOLVO,"240",0
84176722,2919,15,"100-149,999",No,Birkenstocks and Beemers,Routine Service Workers,Middle Class Melting Pot,N,N,TOYOTA,CAMRY,0
2885204,2879,0,"0",No,Aging of Aquarius,Bourgeois Prosperity,Booming with Confidence,N,N,HONDA,CR-V,0
5845558,2885,15,"250K+",Yes,Reaping Rewards,Comfortable Retirement,Golden Year Guardians,N,Y,VOLKSWAGEN,EOS,0
14704903,2921,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
16692715,2921,0,"0",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,Unknown,Unknown,0
7488283,2864,15,"90-99,999",Yes,Aging in Place,Comfortable Retirement,Autumn Years,N,N,TOYOTA,COROLLA,0
5404170,2908,13,"50-59,999",No,Progressive Potpourri,Routine Service Workers,Middle Class Melting Pot,N,N,FORD,GALAXIE,0
15728311,2825,0,"0",No,Rural Escape,Post Industrial Survivors,Autumn Years,N,N,HONDA,ACCORD,0
37565179,2914,6,"50-59,999",No,Progressive Potpourri,Routine Service Workers,Middle Class Melting Pot,N,N,HYUNDAI,ELANTRA,1
11341282,2818,0,"0",No,American Royalty,Bourgeois Prosperity,Power Elite,N,N,Unknown,Unknown,0
9724951,2889,7,"50-59,999",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
4203443,2827,15,"70-79,999",Yes,Stockcars and State Parks,Routine Service Workers,Family Union,N,N,CHRYSLER,SEBRING,0
20399430,2852,0,"0",No,Boomers and Boomerangs,Bourgeois Prosperity,Booming with Confidence,N,N,Unknown,Unknown,0
1231514,2816,13,"100-149,999",Yes,Aging in Place,Comfortable Retirement,Autumn Years,N,N,NISSAN,ALTIMA,0
12636009,2920,15,Under 10K,Yes,Wired for Success,Sophisticated Singles,Significant Singles,N,Y,TOYOTA,COROLLA,1
